Timestamp,Protocol,Payload Size (bytes),Device Active Time (ms)
70366615772000,MQTT,102,0
70366615684600,MQTT,102,0
70366617464800,MQTT,102,0
70366618680500,MQTT,102,0
70366618182600,MQTT,102,0
70366618492700,MQTT,102,0
70366618935400,MQTT,102,0
70366618818600,MQTT,102,0
70366619134300,MQTT,102,0
70366615231600,MQTT,102,0
70366619037000,MQTT,102,0
70366619279000,MQTT,102,0
70366615363200,MQTT,102,0
70366667719000,MQTT,102,0
70366668444500,MQTT,102,0
70366668738300,MQTT,102,0
70366668960500,MQTT,102,0
70366669182900,MQTT,102,0
70366672737100,MQTT,102,0
70366676937200,MQTT,102,0
70366677767900,MQTT,102,0
70366677610300,MQTT,102,0
70366677439000,MQTT,102,0
70366683477700,MQTT,102,0
70366683857500,MQTT,102,0
70366684038200,MQTT,102,0
70366684171500,MQTT,102,0
70366684293400,MQTT,102,0
70366684437900,MQTT,102,0
70366684760600,MQTT,102,0
70366691792200,MQTT,102,0
70366692194000,MQTT,102,0
70366692430400,MQTT,102,0
70366693205600,MQTT,102,0
70366692628700,MQTT,102,0
70366693502300,MQTT,102,0
70366692799300,MQTT,102,0
70366693624800,MQTT,102,0
70366693369000,MQTT,102,0
70366710825500,MQTT,102,0
70366711329800,MQTT,102,0
70366711509700,MQTT,102,0
70366711663100,MQTT,102,0
70366711796200,MQTT,102,0
70366715660600,MQTT,102,0
70366723222100,MQTT,102,0
70366724094600,MQTT,102,0
70366724367800,MQTT,102,0
70366724524800,MQTT,102,0
70366724701200,MQTT,102,0
70366724886700,MQTT,102,0
70366724800100,MQTT,102,0
70366724968900,MQTT,102,0
70366725047500,MQTT,102,0
70366731762800,MQTT,102,0
70366732566700,MQTT,102,0
70366733308500,MQTT,102,0
70366732916400,MQTT,102,0
70366732111700,MQTT,102,0
70366733590400,MQTT,102,0
70366740767000,MQTT,102,0
70366741779300,MQTT,102,0
70366742185500,MQTT,102,0
70366742460200,MQTT,102,0
70366742624200,MQTT,102,0
70366742792500,MQTT,102,0
70366742976400,MQTT,102,0
70366743096700,MQTT,102,0
70366743234400,MQTT,102,0
70366743373600,MQTT,102,0
70366750842500,MQTT,102,0
70366751131600,MQTT,102,0
70366751308000,MQTT,102,0
70366751475600,MQTT,102,0
70366751769200,MQTT,102,0
70366751646400,MQTT,102,0
70366812241900,MQTT,102,0
70366812810700,MQTT,102,0
70366813039300,MQTT,102,0
70366813201300,MQTT,102,0
70366813340200,MQTT,102,0
70366817430600,MQTT,102,0
70366817864300,MQTT,102,0
70366818438800,MQTT,102,0
70366818177600,MQTT,102,0
70366818908300,MQTT,102,0
70366825072700,MQTT,102,0
70366825624000,MQTT,102,0
70366825941600,MQTT,102,0
70366826170100,MQTT,102,0
70366826942200,MQTT,102,0
70366826310000,MQTT,102,0
70366827317100,MQTT,102,0
70366826709200,MQTT,102,0
